messages_author_id,threads_author_id
785243,3663028
3492890,157756
4604,752481
3455102,50850
3659362,3616789
3610720,3447626
3787515,3829594
64050,3807347
3598409,3625037
253341,240016
3564193,3522315
3835475,3835372
3560615,3460067
4140919,3917056
3664055,3586198
2655,881764
3486017,3453217
3638940,3757213
592540,3680852
2412387,3770779
3623930,3645958
3811079,4080699
516485,761890
3809129,3973938
3834014,3559409
337364,3630580
2405805,1689136
1748103,3465263
64050,4078204
3492056,3487164
524223,4162370
106411,3475872
3663823,3738669
3694236,3447215
3046931,3569605
3301691,3562895
701187,3495584
366949,777549
3447771,2930039
1363361,3453990
4147765,3428531
3961387,3957057
3950283,3954568
3497617,3504520
307124,11071
3527972,1458517
3920047,3932962
3678623,3505672
3500492,3525824
3503773,3472835
1265256,3624599
3774430,4189596
3488567,1695550
951420,3589356
3648512,3623424
3510340,156953
671174,134535
3614361,3611103
1190697,4146734
4084768,4158220
3783527,4081079
3785818,3717451
1617446,2199772
3805008,3911340
3680088,3721857
163753,2113690
134439,3465782
4016901,3816413
128963,1988440
3472197,3878010
1133707,3448983
3470461,3403550
3941449,3965872
1520442,1928687
1475290,171635
4020453,3908644
1710608,3722968
350369,925697
4182394,3683746
1666938,807884
3305485,290259
2513817,1516106
3835475,4050152
3604306,3466146
133960,13382
3448429,3551481
3571688,1949455
1149295,4054555
4127226,3471694
4024830,3819509
2412387,3736578
3453967,3618612
3450556,3498347
3489750,3627511
96998,2330189
4066324,1870922
3679517,3973329
3993084,4078941
3814472,3845338
3503773,3519026
4036096,4050725
2950127,1520644
679594,189925
3679636,2726158
3925441,3873972
2939329,3731178
3554222,3467686
3961237,3354057
3949974,3629650
209060,3582638
464765,360643
3881835,4148336
2109739,1175943
3483955,3460979
4229062,3570535
3811563,3447426
3511004,4067550
2521462,19421
3582440,3601879
3461550,2615012
4123552,341426
3450556,3634848
644382,607298
3619329,3493958
547795,178571
3774430,4169975
3511002,3586128
3460671,3458203
1396328,3446549
217626,3483287
3514022,3529168
3844290,4128564
4054555,1470504
512988,443107
3583669,3568373
234534,348319
3748671,3608922
3799477,210854
3684843,3668059
3862549,3910157
3773951,3658709
3693743,1926527
3301691,2034862
3683160,259654
202001,3218995
3793964,4083726
3565867,3580986
3475254,3689278
4035969,3959385
3662613,3429820
962061,1600934
2908922,3326551
588643,215653
1137662,2806365
1604886,3716895
2724643,1146834
577986,3244237
3783476,4155170
3501803,3681809
3638301,3745210
592540,3488775
3809228,3832406
3749930,3516580
1271392,2500217
3799815,3788521
635950,3693743
3931853,3828342
547795,3704034
1252,3706406
3693743,3451788
3779293,659328
3693743,16379
251443,1122
3607810,3642759
1267616,3672114
3614854,3513496
592540,3592923
1215089,1595220
3477025,1254420
4051891,953610
15104,136
3491339,796
3440230,3642759
3516091,3847782
3693743,1996003
803607,3604290
145045,124957
154991,2168192
3583224,760917
592540,2307430
63728,4088564
3693743,871445
4054273,3855558
1226119,3453990
156953,3668550
3748095,3615221
1459934,2297857
773565,745314
3451017,3640770
3460671,2438958
3660982,3606623
3794942,3629718
3807249,3858152
3561056,3596517
1809609,727932
3878557,4029264
795502,977197
2499114,536208
1747485,3467442
3693743,1098357
176970,617795
1459934,3479682
3621372,4183616
3614286,4130259
745959,3701139
4925,3590999
3826572,3804681
126336,3475222
3588313,4069322
2207595,3767178
1617446,1658614
4051637,4112749
2660904,3819291
219740,802966
5420,931448
3492460,3456357
3588751,3605353
4604,264577
3470283,3456933
1982057,3590108
1981535,1335658
3503618,3483895
3583224,3669903
